16:45:54:689 [WARN]	SSL certificate signed by unknown CA
16:45:54:690 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:695 [WARN]	SSL certificate signed by unknown CA
16:45:54:695 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:706 [WARN]	SSL certificate signed by unknown CA
16:45:54:706 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:712 [WARN]	SSL certificate signed by unknown CA
16:45:54:712 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:719 [WARN]	SSL certificate signed by unknown CA
16:45:54:719 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:724 [WARN]	SSL certificate signed by unknown CA
16:45:54:724 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:730 [WARN]	SSL certificate signed by unknown CA
16:45:54:731 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:54:737 [WARN]	SSL certificate signed by unknown CA
16:45:54:737 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:55:132 [WARN]	SSL certificate signed by unknown CA
16:45:55:133 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:45:55:390 [WARN]	SSL certificate signed by unknown CA
16:45:55:390 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
16:48:53:968 [WARN]	SSL certificate signed by unknown CA
16:48:53:969 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
17:45:34:292 [WARN]	SSL certificate signed by unknown CA
17:45:34:292 [WARN]	Request Failed. ErrorCode: 112175 errorMessage: Platform Status, INVALID_CA. Send Request Failed. WinHTTP Secure Failure. last error code = 12175 
